"id","commodity__sid","commodity__code","commodity__suffix","commodity__description","commodity__validity_start","commodity__validity_end","parent__sid","parent__code","parent__suffix"
8530,108523,"2846907000","80","Compounds of europium, holmium, erbium, thulium, ytterbium, lutetium or yttrium","2023-01-01","#NA",36141,"2846900000","80"
8531,108530,"2846907010","80","Europium compounds","2023-01-01","#NA",108523,"2846907000","80"
8532,108531,"2846907030","80","Holmium compounds","2023-01-01","#NA",108523,"2846907000","80"
8533,108532,"2846907035","80","Erbium compounds","2023-01-01","#NA",108523,"2846907000","80"
8534,108533,"2846907040","80","Thulium compounds","2023-01-01","#NA",108523,"2846907000","80"
8535,108534,"2846907045","80","Ytterbium compounds","2023-01-01","#NA",108523,"2846907000","80"
8536,108535,"2846907050","80","Lutetium compounds","2023-01-01","#NA",108523,"2846907000","80"
8537,108536,"2846907055","80","Yttrium compounds","2023-01-01","#NA",108523,"2846907000","80"
8538,99470,"2846909000","80","Compounds of mixtures of metals","2016-01-01","#NA",36141,"2846900000","80"
8539,36144,"2847000000","80","Hydrogen peroxide, whether or not solidified with urea","1972-01-01","#NA",36095,"2843000000","10"
8540,36148,"2849000000","80","Carbides, whether or not chemically defined","1972-01-01","#NA",36095,"2843000000","10"
8541,36149,"2849100000","80","Of calcium","1972-01-01","#NA",36148,"2849000000","80"
8542,36150,"2849200000","80","Of silicon","1972-01-01","#NA",36148,"2849000000","80"
8543,36151,"2849900000","80","Other","1972-01-01","#NA",36148,"2849000000","80"
8544,36152,"2849901000","80","Of boron","1972-01-01","#NA",36151,"2849900000","80"
8545,36153,"2849903000","80","Of tungsten","1972-01-01","#NA",36151,"2849900000","80"
8546,36154,"2849905000","80","Of aluminium; of chromium; of molybdenum; of vanadium; of tantalum; of titanium","1972-01-01","#NA",36151,"2849900000","80"
8547,101738,"2849905010","80","Of tantalum","2017-07-09","#NA",36154,"2849905000","80"
8548,103200,"2849905090","80","Other","2017-07-09","#NA",36154,"2849905000","80"
8549,36155,"2849909000","80","Other","1972-01-01","#NA",36151,"2849900000","80"
8550,36156,"2850000000","80","Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849","1972-01-01","#NA",36095,"2843000000","10"
